time,halfW01,d0,d1,d2,d3
2.920,0.7395,0,0,0,0
0.333,0.7521,2,3,3,1
0.368,0.7528,2,3,3,1
0.402,0.7542,2,3,3,1
0.435,0.7556,2,3,3,1
0.469,0.7563,2,3,3,1
0.499,0.7576,2,3,3,1
0.532,0.7589,2,3,3,1
0.567,0.7595,2,3,3,1
0.600,0.7607,2,3,3,1
0.633,0.7620,2,3,3,1
0.668,0.7625,2,3,3,1
0.703,0.7637,2,3,3,1
0.734,0.7648,2,3,3,1
0.768,0.7654,2,3,3,1
0.802,0.7665,2,3,3,1
0.835,0.7675,2,3,3,1
0.867,0.7681,2,3,3,1
0.901,0.7691,2,3,3,1
0.934,0.7701,2,3,3,1
0.969,0.7706,2,3,3,1
1.001,0.7716,2,3,3,1
1.033,0.7726,2,3,3,1
1.069,0.7731,2,3,3,1
1.102,0.7740,2,3,3,1
1.135,0.7750,2,3,3,1
1.168,0.7755,2,3,3,1
1.201,0.7764,2,3,3,1
1.233,0.7773,2,3,3,1
1.269,0.7777,2,3,3,1
1.300,0.7786,2,3,3,1
1.336,0.7795,2,3,3,1
1.369,0.7800,2,3,3,1
1.402,0.7808,2,3,3,1
1.435,0.7817,2,3,3,1
1.468,0.7821,2,3,3,1
1.502,0.7830,2,3,3,1
1.534,0.7838,2,3,3,1
1.570,0.7842,2,3,3,1
1.601,0.7850,2,3,3,1
1.633,0.7858,2,3,3,1
1.669,0.7862,0,0,0,0
1.700,0.7870,0,0,0,0
1.737,0.7877,0,0,0,0
1.769,0.7881,0,0,0,0
1.803,0.7888,0,0,0,0
1.835,0.7896,0,0,0,0
1.869,0.7899,0,0,0,0
1.901,0.7906,0,0,0,0
1.933,0.7913,0,0,0,0
1.968,0.7917,0,0,0,0
1.999,0.7924,0,0,0,0
2.033,0.7930,0,0,0,0
2.068,0.7934,0,0,0,0
2.100,0.7940,0,0,0,0
2.136,0.7946,0,0,0,0
2.168,0.7950,0,0,0,0
2.200,0.7956,0,0,0,0
2.236,0.7962,0,0,0,0
2.268,0.7965,0,0,0,0
2.301,0.7971,0,0,0,0
2.333,0.7977,0,0,0,0
2.368,0.7979,0,0,0,0
2.400,0.7985,0,0,0,0
2.433,0.7991,0,0,0,0
2.469,0.7993,0,0,0,0
2.502,0.7999,0,0,0,0
2.534,0.8004,0,0,0,0
2.566,0.8007,0,0,0,0
2.602,0.8012,0,0,0,0
2.634,0.8017,0,0,0,0
2.667,0.8019,0,0,0,0
2.702,0.8024,0,0,0,0
2.735,0.8029,0,0,0,0
2.768,0.8031,0,0,0,0
2.803,0.8036,0,0,0,0
2.836,0.8040,0,0,0,0
2.869,0.8042,0,0,0,0
2.901,0.8047,0,0,0,0
2.934,0.8051,0,0,0,0
2.967,0.8053,0,0,0,0
3.002,0.8057,0,0,0,0
3.035,0.8061,0,0,0,0
3.067,0.8063,0,0,0,0
3.102,0.8067,0,0,0,0
3.134,0.8071,0,0,0,0
3.169,0.8073,0,0,0,0
3.202,0.8077,0,0,0,0
3.234,0.8080,0,0,0,0
3.267,0.8082,0,0,0,0
3.302,0.8085,0,0,0,0
3.334,0.8089,0,0,0,0
3.367,0.8091,0,0,0,0
3.402,0.8094,0,0,0,0
3.433,0.8097,0,0,0,0
3.469,0.8099,0,0,0,0
3.500,0.8102,0,0,0,0
3.536,0.8105,0,0,0,0
3.569,0.8106,0,0,0,0
3.600,0.8109,0,0,0,0
3.635,0.8112,0,0,0,0
3.668,0.8114,0,0,0,0
3.701,0.8117,0,0,0,0
3.735,0.8119,0,0,0,0
3.767,0.8121,0,0,0,0
3.802,0.8123,0,0,0,0
3.834,0.8126,0,0,0,0
3.870,0.8127,0,0,0,0
3.901,0.8130,0,0,0,0
3.933,0.8132,0,0,0,0
3.969,0.8133,0,0,0,0
4.002,0.8136,0,0,0,0
4.034,0.8138,0,0,0,0
4.069,0.8139,0,0,0,0
4.102,0.8141,0,0,0,0
4.134,0.8144,0,0,0,0
4.169,0.8145,0,0,0,0
4.201,0.8147,0,0,0,0
4.233,0.8149,0,0,0,0
4.268,0.8150,0,0,0,0
4.302,0.8152,0,0,0,0
4.335,0.8154,0,0,0,0
4.369,0.8155,0,0,0,0
4.400,0.8157,0,0,0,0
4.436,0.8158,0,0,0,0
4.467,0.8159,0,0,0,0
4.499,0.8161,0,0,0,0
4.535,0.8163,0,0,0,0
4.567,0.8164,0,0,0,0
4.601,0.8165,0,0,0,0
4.633,0.8167,0,0,0,0
4.669,0.8168,0,0,0,0
4.700,0.8170,0,0,0,0
4.735,0.8171,0,0,0,0
4.767,0.8172,0,0,0,0
4.800,0.8173,0,0,0,0
4.835,0.8175,0,0,0,0
4.867,0.8176,0,0,0,0
4.901,0.8177,0,0,0,0
4.935,0.8179,0,0,0,0
4.966,0.8179,0,0,0,0
5.001,0.8181,0,0,0,0
5.036,0.8182,0,0,0,0
5.067,0.8183,0,0,0,0
5.102,0.8184,0,0,0,0
5.133,0.8185,0,0,0,0
5.169,0.8186,0,0,0,0
5.199,0.8187,0,0,0,0
5.235,0.8188,0,0,0,0
5.266,0.8189,0,0,0,0
5.300,0.8190,0,0,0,0
5.335,0.8191,0,0,0,0
5.367,0.8192,0,0,0,0
5.401,0.8193,0,0,0,0
5.433,0.8194,0,0,0,0
5.468,0.8195,0,0,0,0
5.501,0.8196,0,0,0,0
5.535,0.8197,0,0,0,0
5.567,0.8197,0,0,0,0
5.602,0.8198,0,0,0,0
5.634,0.8199,0,0,0,0
5.669,0.8200,0,0,0,0
5.700,0.8201,0,0,0,0
5.736,0.8202,0,0,0,0
5.770,0.8203,0,0,0,0
5.802,0.8203,0,0,0,0
5.835,0.8204,0,0,0,0
5.868,0.8205,0,0,0,0
5.902,0.8205,0,0,0,0
5.933,0.8206,0,0,0,0
5.966,0.8207,0,0,0,0
6.002,0.8208,0,0,0,0
6.035,0.8209,0,0,0,0
6.068,0.8209,0,0,0,0
6.100,0.8210,0,0,0,0
6.133,0.8211,0,0,0,0
6.166,0.8211,0,0,0,0
6.201,0.8212,0,0,0,0
6.236,0.8213,0,0,0,0
6.268,0.8213,0,0,0,0
6.300,0.8214,0,0,0,0
6.335,0.8215,0,0,0,0
6.367,0.8215,0,0,0,0
6.403,0.8216,0,0,0,0
6.435,0.8216,0,0,0,0
6.468,0.8217,0,0,0,0
6.500,0.8218,0,0,0,0
6.536,0.8218,0,0,0,0
6.569,0.8219,0,0,0,0
6.600,0.8219,0,0,0,0
6.633,0.8220,0,0,0,0
6.669,0.8220,0,0,0,0
6.701,0.8221,0,0,0,0
6.736,0.8222,0,0,0,0
6.768,0.8222,0,0,0,0
6.800,0.8223,0,0,0,0
6.836,0.8223,0,0,0,0
6.868,0.8224,0,0,0,0
6.900,0.8224,0,0,0,0
6.936,0.8225,0,0,0,0
6.968,0.8225,0,0,0,0
7.001,0.8226,0,0,0,0
7.034,0.8226,0,0,0,0
7.069,0.8227,0,0,0,0
7.102,0.8227,0,0,0,0
7.132,0.8228,0,0,0,0
7.169,0.8228,0,0,0,0
7.201,0.8229,0,0,0,0
7.234,0.8229,0,0,0,0
7.267,0.8230,0,0,0,0
7.300,0.8230,0,0,0,0
7.336,0.8231,0,0,0,0
7.369,0.8231,0,0,0,0
7.401,0.8232,0,0,0,0
7.433,0.8232,0,0,0,0
7.468,0.8233,0,0,0,0
7.501,0.8233,0,0,0,0
7.537,0.8234,0,0,0,0
7.566,0.8234,0,0,0,0
7.602,0.8234,0,0,0,0
7.635,0.8235,0,0,0,0
7.669,0.8235,0,0,0,0
7.702,0.8236,0,0,0,0
7.735,0.8236,0,0,0,0
7.767,0.8237,0,0,0,0
7.803,0.8237,0,0,0,0
7.836,0.8238,0,0,0,0
7.866,0.8238,0,0,0,0
7.903,0.8238,0,0,0,0
7.936,0.8239,0,0,0,0
7.969,0.8239,0,0,0,0
8.001,0.8240,0,0,0,0
8.035,0.8240,0,0,0,0
8.068,0.8240,0,0,0,0
8.100,0.8241,0,0,0,0
8.133,0.8241,0,0,0,0
8.166,0.8241,0,0,0,0
8.202,0.8242,0,0,0,0
8.235,0.8242,0,0,0,0
8.267,0.8243,0,0,0,0
8.300,0.8243,0,0,0,0
8.335,0.8244,0,0,0,0
8.368,0.8244,0,0,0,0
8.400,0.8244,0,0,0,0
8.433,0.8245,0,0,0,0
8.466,0.8245,0,0,0,0
8.499,0.8245,0,0,0,0
8.533,0.8246,0,0,0,0
8.566,0.8246,0,0,0,0
8.602,0.8246,0,0,0,0
8.634,0.8247,0,0,0,0
8.666,0.8247,0,0,0,0
8.702,0.8247,0,0,0,0
8.735,0.8248,0,0,0,0
8.767,0.8248,0,0,0,0
8.800,0.8248,0,0,0,0
8.833,0.8249,0,0,0,0
8.866,0.8249,0,0,0,0
8.901,0.8249,0,0,0,0
8.934,0.8250,0,0,0,0
8.968,0.8250,0,0,0,0
9.000,0.8250,0,0,0,0
9.034,0.8251,0,0,0,0
9.067,0.8251,0,0,0,0
9.100,0.8251,0,0,0,0
9.136,0.8252,0,0,0,0
9.168,0.8252,0,0,0,0
9.200,0.8252,0,0,0,0
9.235,0.8253,0,0,0,0
9.267,0.8253,0,0,0,0
9.303,0.8253,0,0,0,0
9.338,0.8254,0,0,0,0
9.366,0.8254,0,0,0,0
9.402,0.8254,0,0,0,0
9.434,0.8255,0,0,0,0
9.469,0.8255,0,0,0,0
9.502,0.8255,0,0,0,0
9.534,0.8256,0,0,0,0
9.566,0.8256,0,0,0,0
9.602,0.8256,0,0,0,0
9.634,0.8256,0,0,0,0
9.666,0.8257,0,0,0,0
9.702,0.8257,0,0,0,0
9.734,0.8257,0,0,0,0
9.766,0.8257,0,0,0,0
9.802,0.8258,0,0,0,0
9.835,0.8258,0,0,0,0
9.866,0.8258,0,0,0,0
9.899,0.8259,0,0,0,0
9.933,0.8259,0,0,0,0
9.967,0.8259,0,0,0,0
9.999,0.8259,0,0,0,0
10.033,0.8260,0,0,0,0
10.069,0.8260,0,0,0,0
10.101,0.8260,0,0,0,0
10.133,0.8260,0,0,0,0
10.169,0.8261,0,0,0,0
10.201,0.8261,0,0,0,0
10.235,0.8261,0,0,0,0
10.267,0.8261,0,0,0,0
10.301,0.8262,0,0,0,0
10.333,0.8262,0,0,0,0
10.368,0.8262,0,0,0,0
10.400,0.8262,0,0,0,0
10.433,0.8263,0,0,0,0
10.467,0.8263,0,0,0,0
10.500,0.8263,0,0,0,0
10.533,0.8263,0,0,0,0
10.569,0.8264,0,0,0,0
10.601,0.8264,0,0,0,0
10.634,0.8264,0,0,0,0
10.666,0.8264,0,0,0,0
10.702,0.8265,0,0,0,0
10.734,0.8265,0,0,0,0
10.767,0.8265,0,0,0,0
10.800,0.8265,0,0,0,0
10.833,0.8265,0,0,0,0
10.869,0.8266,0,0,0,0
10.901,0.8266,0,0,0,0
10.934,0.8266,0,0,0,0
10.967,0.8266,0,0,0,0
11.002,0.8266,0,0,0,0
11.035,0.8267,0,0,0,0
11.066,0.8267,0,0,0,0
11.101,0.8267,0,0,0,0
11.137,0.8267,0,0,0,0
11.169,0.8267,0,0,0,0
11.202,0.8268,0,0,0,0
11.234,0.8268,0,0,0,0
11.266,0.8268,0,0,0,0
11.302,0.8268,0,0,0,0
11.334,0.8269,0,0,0,0
11.369,0.8269,0,0,0,0
11.402,0.8269,0,0,0,0
11.434,0.8269,0,0,0,0
11.466,0.8269,0,0,0,0
11.502,0.8269,0,0,0,0
11.533,0.8270,0,0,0,0
11.569,0.8270,0,0,0,0
11.601,0.8270,0,0,0,0
11.633,0.8270,0,0,0,0
11.666,0.8270,0,0,0,0
11.702,0.8270,0,0,0,0
11.735,0.8271,0,0,0,0
11.766,0.8271,0,0,0,0
11.802,0.8271,0,0,0,0
11.835,0.8271,0,0,0,0
11.868,0.8271,0,0,0,0
11.901,0.8271,0,0,0,0
11.934,0.8272,0,0,0,0
11.970,0.8272,0,0,0,0
12.001,0.8272,0,0,0,0
12.033,0.8272,0,0,0,0
12.067,0.8272,0,0,0,0
12.100,0.8272,0,0,0,0
12.135,0.8273,0,0,0,0
12.167,0.8273,0,0,0,0
12.202,0.8273,0,0,0,0
12.236,0.8273,0,0,0,0
12.266,0.8273,0,0,0,0
12.302,0.8273,0,0,0,0
12.334,0.8274,0,0,0,0
12.366,0.8274,0,0,0,0
12.399,0.8274,0,0,0,0
12.436,0.8274,0,0,0,0
12.467,0.8274,0,0,0,0
12.503,0.8274,0,0,0,0
12.536,0.8274,0,0,0,0
12.568,0.8274,0,0,0,0
12.601,0.8275,0,0,0,0
12.634,0.8275,0,0,0,0
12.667,0.8275,0,0,0,0
12.700,0.8275,0,0,0,0
12.736,0.8275,0,0,0,0
12.769,0.8275,0,0,0,0
12.801,0.8275,0,0,0,0
12.834,0.8276,0,0,0,0
12.869,0.8276,0,0,0,0
12.902,0.8276,0,0,0,0
12.934,0.8276,0,0,0,0
12.967,0.8276,0,0,0,0
13.003,0.8276,0,0,0,0
13.033,0.8276,0,0,0,0
13.069,0.8276,0,0,0,0
13.101,0.8277,0,0,0,0
13.135,0.8277,0,0,0,0
13.167,0.8277,0,0,0,0
13.202,0.8277,0,0,0,0
13.234,0.8277,0,0,0,0
13.266,0.8277,0,0,0,0
13.302,0.8277,0,0,0,0
13.334,0.8277,0,0,0,0
13.368,0.8277,0,0,0,0
13.400,0.8278,0,0,0,0
13.433,0.8278,0,0,0,0
13.466,0.8278,0,0,0,0
13.503,0.8278,0,0,0,0
13.536,0.8278,0,0,0,0
13.569,0.8278,0,0,0,0
13.599,0.8278,0,0,0,0
13.635,0.8278,0,0,0,0
13.668,0.8278,0,0,0,0
13.700,0.8278,0,0,0,0
13.734,0.8279,0,0,0,0
13.766,0.8279,0,0,0,0
13.802,0.8279,0,0,0,0
13.834,0.8279,0,0,0,0
13.868,0.8279,0,0,0,0
13.901,0.8279,0,0,0,0
13.933,0.8279,0,0,0,0
13.967,0.8279,0,0,0,0
14.003,0.8279,0,0,0,0
14.033,0.8279,0,0,0,0
14.069,0.8279,0,0,0,0
14.100,0.8280,0,0,0,0
14.133,0.8280,0,0,0,0
14.166,0.8280,0,0,0,0
14.201,0.8280,0,0,0,0
14.235,0.8280,0,0,0,0
14.266,0.8280,0,0,0,0
14.300,0.8280,0,0,0,0
14.333,0.8280,0,0,0,0
14.369,0.8280,0,0,0,0
14.401,0.8280,0,0,0,0
14.433,0.8280,0,0,0,0
14.468,0.8280,0,0,0,0
14.500,0.8280,0,0,0,0
14.535,0.8281,0,0,0,0
14.567,0.8281,0,0,0,0
14.603,0.8281,0,0,0,0
14.636,0.8281,0,0,0,0
14.669,0.8281,0,0,0,0
14.702,0.8281,0,0,0,0
14.734,0.8281,0,0,0,0
14.768,0.8281,0,0,0,0
14.800,0.8281,0,0,0,0
14.836,0.8281,0,0,0,0
14.869,0.8281,0,0,0,0
14.900,0.8281,0,0,0,0
14.936,0.8281,0,0,0,0
14.967,0.8281,0,0,0,0
15.000,0.8281,0,0,0,0
15.035,0.8282,0,0,0,0
15.069,0.8282,0,0,0,0
15.101,0.8282,0,0,0,0
15.134,0.8282,0,0,0,0
15.170,0.8282,0,0,0,0
15.202,0.8282,0,0,0,0
15.235,0.8282,0,0,0,0
15.267,0.8282,0,0,0,0
15.302,0.8282,0,0,0,0
15.334,0.8282,0,0,0,0
15.366,0.8282,0,0,0,0
15.401,0.8282,0,0,0,0
15.433,0.8282,0,0,0,0
15.468,0.8282,0,0,0,0
15.503,0.8282,0,0,0,0
15.536,0.8282,0,0,0,0
15.568,0.8282,0,0,0,0
15.602,0.8283,0,0,0,0
15.634,0.8283,0,0,0,0
15.669,0.8283,0,0,0,0
15.700,0.8283,0,0,0,0
15.735,0.8283,0,0,0,0
15.767,0.8283,0,0,0,0
15.801,0.8283,0,0,0,0
15.834,0.8283,0,0,0,0
15.869,0.8283,0,0,0,0
15.900,0.8283,0,0,0,0
15.936,0.8283,0,0,0,0
15.967,0.8283,0,0,0,0
16.002,0.8283,0,0,0,0
16.035,0.8283,0,0,0,0
16.067,0.8283,0,0,0,0
16.100,0.8283,0,0,0,0
16.134,0.8283,0,0,0,0
16.169,0.8283,0,0,0,0
16.201,0.8283,0,0,0,0
16.236,0.8283,0,0,0,0
16.269,0.8283,0,0,0,0
16.301,0.8284,0,0,0,0
16.334,0.8284,0,0,0,0
16.366,0.8284,0,0,0,0
16.401,0.8284,0,0,0,0
16.436,0.8284,0,0,0,0
16.469,0.8284,0,0,0,0
16.503,0.8284,0,0,0,0
16.534,0.8284,0,0,0,0
16.566,0.8284,0,0,0,0
16.602,0.8284,0,0,0,0
16.634,0.8284,0,0,0,0
16.666,0.8284,0,0,0,0
16.701,0.8284,0,0,0,0
16.733,0.8284,0,0,0,0
16.766,0.8284,0,0,0,0
16.802,0.8284,0,0,0,0
16.834,0.8284,0,0,0,0
16.867,0.8284,0,0,0,0
16.900,0.8284,0,0,0,0
16.936,0.8284,0,0,0,0
16.968,0.8284,0,0,0,0
17.000,0.8284,0,0,0,0
17.036,0.8284,0,0,0,0
17.069,0.8284,0,0,0,0
17.100,0.8284,0,0,0,0
17.136,0.8284,0,0,0,0
17.168,0.8284,0,0,0,0
17.199,0.8284,0,0,0,0
17.233,0.8285,0,0,0,0
17.267,0.8285,0,0,0,0
17.302,0.8285,0,0,0,0
17.335,0.8285,0,0,0,0
17.368,0.8285,0,0,0,0
17.399,0.8285,0,0,0,0
17.435,0.8285,0,0,0,0
17.468,0.8285,0,0,0,0
17.501,0.8285,0,0,0,0
17.532,0.8285,0,0,0,0
17.569,0.8285,0,0,0,0
17.603,0.8285,0,0,0,0
17.635,0.8285,0,0,0,0
17.670,0.8285,0,0,0,0
17.701,0.8285,0,0,0,0
17.735,0.8285,0,0,0,0
17.767,0.8285,0,0,0,0
17.801,0.8285,0,0,0,0
17.833,0.8285,0,0,0,0
17.868,0.8285,0,0,0,0
17.902,0.8285,0,0,0,0
17.933,0.8285,0,0,0,0
17.969,0.8285,0,0,0,0
18.003,0.8285,0,0,0,0
18.035,0.8285,0,0,0,0
18.067,0.8285,0,0,0,0
18.102,0.8285,0,0,0,0
18.136,0.8285,0,0,0,0
18.168,0.8285,0,0,0,0
18.199,0.8285,0,0,0,0
18.235,0.8285,0,0,0,0
18.266,0.8285,0,0,0,0
