time,halfW01,d0,d1,d2,d3
2.914,0.8153,0,1,1,0
0.333,0.8342,1,3,3,1
0.366,0.8353,1,3,3,1
0.400,0.8374,1,3,3,1
0.431,0.8384,1,3,3,2
0.470,0.8405,1,3,3,2
0.500,0.8425,1,3,3,2
0.532,0.8445,1,3,3,2
0.566,0.8455,1,3,3,2
0.598,0.8475,1,3,3,2
0.632,0.8494,1,3,3,2
0.665,0.8504,1,3,3,2
0.698,0.8523,1,3,3,2
0.733,0.8542,1,3,3,2
0.765,0.8551,1,3,3,2
0.798,0.8569,1,3,3,2
0.831,0.8578,1,3,3,2
0.865,0.8596,1,3,4,2
0.898,0.8614,1,3,4,2
0.931,0.8622,1,3,4,2
0.965,0.8639,1,3,4,2
0.999,0.8656,1,3,4,2
1.033,0.8673,1,3,4,2
1.065,0.8681,1,3,4,2
1.098,0.8697,1,3,4,2
1.132,0.8713,1,3,4,2
1.166,0.8721,1,3,4,2
1.198,0.8736,1,3,4,2
1.232,0.8751,1,3,4,2
1.266,0.8759,1,3,4,2
1.298,0.8773,1,3,4,2
1.331,0.8781,1,3,4,2
1.365,0.8795,1,3,4,2
1.400,0.8809,1,3,4,2
1.432,0.8823,1,3,4,2
1.466,0.8829,1,3,4,2
1.499,0.8843,1,3,4,2
1.532,0.8856,1,3,4,2
1.566,0.8862,1,3,4,2
1.600,0.8875,1,3,4,2
1.632,0.8888,1,3,4,2
1.666,0.8894,0,0,0,0
1.699,0.8906,0,0,0,0
1.731,0.8912,0,0,0,0
1.765,0.8924,0,0,0,0
1.799,0.8935,0,0,0,0
1.833,0.8946,0,0,0,0
1.867,0.8952,0,0,0,0
1.898,0.8963,0,0,0,0
1.932,0.8974,0,0,0,0
1.965,0.8979,0,0,0,0
1.998,0.8989,0,0,0,0
2.032,0.9000,0,0,0,0
2.065,0.9005,0,0,0,0
2.100,0.9015,0,0,0,0
2.133,0.9024,0,0,0,0
2.166,0.9029,0,0,0,0
2.199,0.9038,0,0,0,0
2.232,0.9048,0,0,0,0
2.268,0.9052,0,0,0,0
2.300,0.9061,0,0,0,0
2.332,0.9070,0,0,0,0
2.365,0.9074,0,0,0,0
2.398,0.9083,0,0,0,0
2.432,0.9091,0,0,0,0
2.464,0.9095,0,0,0,0
2.499,0.9103,0,0,0,0
2.532,0.9110,0,0,0,0
2.564,0.9114,0,0,0,0
2.599,0.9122,0,0,0,0
2.632,0.9129,0,0,0,0
2.665,0.9132,0,0,0,0
2.698,0.9139,0,0,0,0
2.731,0.9143,0,0,0,0
2.766,0.9149,0,0,0,0
2.799,0.9155,0,0,0,0
2.832,0.9162,0,0,0,0
2.864,0.9164,0,0,0,0
2.899,0.9170,0,0,0,0
2.931,0.9173,0,0,0,0
2.966,0.9178,0,0,0,0
2.999,0.9183,0,0,0,0
3.032,0.9188,0,0,0,0
3.066,0.9190,0,0,0,0
3.098,0.9195,0,0,0,0
3.131,0.9197,0,0,0,0
3.165,0.9201,0,0,0,0
3.198,0.9204,0,0,0,0
3.233,0.9208,0,0,0,0
3.266,0.9209,0,0,0,0
3.298,0.9212,0,0,0,0
3.331,0.9213,0,0,0,0
3.366,0.9215,0,0,0,0
3.398,0.9217,0,0,0,0
3.433,0.9218,0,0,0,0
3.465,0.9219,0,0,0,0
3.500,0.9220,0,0,0,0
3.531,0.9220,0,0,0,0
3.566,0.9220,0,0,0,0
3.598,0.9220,0,0,0,0
3.631,0.9219,0,0,0,0
3.665,0.9219,0,0,0,0
3.699,0.9217,0,0,0,0
3.731,0.9216,0,0,0,0
3.766,0.9214,0,0,0,0
3.798,0.9212,0,0,0,0
3.832,0.9209,0,0,0,0
3.866,0.9207,0,0,0,0
3.899,0.9203,0,0,0,0
3.931,0.9201,0,0,0,0
3.965,0.9197,0,0,0,0
3.998,0.9192,0,0,0,0
4.031,0.9189,0,0,0,0
4.065,0.9183,0,0,0,0
4.098,0.9177,0,0,0,0
4.132,0.9171,0,0,0,0
4.165,0.9167,0,0,0,0
4.198,0.9160,0,0,0,0
4.233,0.9152,0,0,0,0
4.266,0.9148,0,0,0,0
4.298,0.9140,0,0,0,0
4.332,0.9131,0,0,0,0
4.365,0.9127,0,0,0,0
4.400,0.9118,0,0,0,0
4.432,0.9108,0,0,0,0
4.465,0.9103,0,0,0,0
4.498,0.9093,0,0,0,0
4.533,0.9083,0,0,0,0
4.566,0.9078,0,0,0,0
4.598,0.9067,0,0,0,0
4.631,0.9061,0,0,0,0
4.666,0.9050,0,0,0,0
4.698,0.9039,0,0,0,0
4.731,0.9033,0,0,0,0
4.765,0.9022,0,0,0,0
4.799,0.9010,0,0,0,0
4.832,0.8998,0,0,0,0
4.865,0.8992,0,0,0,0
4.899,0.8980,0,0,0,0
4.932,0.8968,0,0,0,0
4.965,0.8962,0,0,0,0
4.999,0.8950,0,0,0,0
5.032,0.8944,0,0,0,0
5.066,0.8932,0,0,0,0
5.099,0.8920,0,0,0,0
5.132,0.8908,0,0,0,0
5.165,0.8903,0,0,0,0
5.198,0.8891,0,0,0,0
5.231,0.8885,0,0,0,0
5.266,0.8873,0,0,0,0
5.298,0.8862,0,0,0,0
5.332,0.8851,0,0,0,0
5.365,0.8845,0,0,0,0
5.399,0.8834,0,0,0,0
5.432,0.8823,0,0,0,0
5.465,0.8818,0,0,0,0
5.498,0.8807,0,0,0,0
5.531,0.8802,0,0,0,0
5.566,0.8792,0,0,0,0
5.599,0.8782,0,0,0,0
5.632,0.8772,0,0,0,0
5.666,0.8767,0,0,0,0
5.698,0.8758,0,0,0,0
5.733,0.8749,0,0,0,0
5.766,0.8744,0,0,0,0
5.799,0.8735,0,0,0,0
5.833,0.8726,0,0,0,0
5.865,0.8722,0,0,0,0
5.898,0.8714,0,0,0,0
5.932,0.8706,0,0,0,0
5.965,0.8702,0,0,0,0
5.998,0.8694,0,0,0,0
6.031,0.8690,0,0,0,0
6.067,0.8683,0,0,0,0
6.099,0.8675,0,0,0,0
6.132,0.8668,0,0,0,0
6.166,0.8665,0,0,0,0
6.198,0.8658,0,0,0,0
6.231,0.8655,0,0,0,0
6.266,0.8648,0,0,0,0
6.299,0.8642,0,0,0,0
6.333,0.8636,0,0,0,0
6.367,0.8633,0,0,0,0
6.399,0.8627,0,0,0,0
6.432,0.8621,0,0,0,0
6.464,0.8619,0,0,0,0
6.499,0.8613,0,0,0,0
6.532,0.8608,0,0,0,0
6.565,0.8605,0,0,0,0
6.599,0.8600,0,0,0,0
