time,halfW01,d0,d1,d2,d3
2.967,0.6688,0,0,0,0
0.339,0.6829,1,3,3,1
0.369,0.6846,1,3,3,1
0.403,0.6864,1,3,3,1
0.436,0.6872,1,3,3,1
0.470,0.6890,1,3,3,1
0.505,0.6907,1,3,3,1
0.538,0.6916,1,3,3,1
0.570,0.6933,1,3,3,1
0.604,0.6950,1,3,3,1
0.636,0.6958,1,3,3,1
0.669,0.6975,1,3,3,1
0.702,0.6992,1,3,3,1
0.737,0.7001,1,3,3,1
0.770,0.7017,1,3,3,1
0.803,0.7034,1,3,4,1
0.836,0.7042,1,3,4,1
0.870,0.7059,1,4,4,1
0.903,0.7075,1,4,4,1
0.938,0.7083,1,4,4,1
0.969,0.7100,1,4,4,1
1.003,0.7116,1,4,4,1
1.037,0.7124,1,4,4,1
1.070,0.7140,1,4,4,1
1.104,0.7156,1,4,4,1
1.137,0.7164,1,4,4,1
1.170,0.7180,1,4,4,1
1.204,0.7196,1,4,4,1
1.237,0.7203,1,4,4,1
1.270,0.7219,1,4,4,1
1.303,0.7235,1,4,4,1
1.337,0.7242,1,4,4,1
