time,halfW01,d0,d1,d2,d3
2.903,0.8348,0,0,0,0
0.341,0.8500,2,3,3,1
0.373,0.8509,2,3,3,1
0.406,0.8524,2,3,3,1
0.439,0.8442,2,3,3,1
0.473,0.8344,2,3,3,1
0.506,0.8349,2,3,3,1
0.540,0.8349,2,3,3,1
0.573,0.8324,2,3,3,1
0.606,0.8273,2,3,3,1
0.640,0.8211,2,3,3,1
0.673,0.8114,2,3,3,1
0.706,0.7994,2,3,4,1
0.739,0.7872,2,3,4,1
0.773,0.7932,2,3,4,1
0.806,0.7971,2,3,4,1
0.840,0.8016,2,3,4,1
0.873,0.8019,2,3,4,1
0.906,0.8005,2,3,4,1
0.940,0.7999,2,3,4,1
0.973,0.7956,2,3,4,1
1.006,0.7963,2,3,4,1
1.040,0.8049,2,3,3,1
1.073,0.8102,2,3,3,1
1.106,0.8144,2,3,3,1
1.140,0.8180,2,4,3,1
1.173,0.8190,2,4,3,1
1.206,0.8184,2,4,3,1
1.239,0.8177,2,4,3,1
1.273,0.8164,2,4,3,1
1.306,0.8154,2,4,3,1
1.340,0.8150,2,4,3,1
1.373,0.8142,1,4,3,1
1.406,0.8136,1,4,3,1
1.440,0.8134,1,4,3,1
1.473,0.8129,1,4,3,1
1.506,0.8125,1,4,3,1
1.539,0.8123,1,4,3,1
1.573,0.8119,1,4,3,1
1.606,0.8115,1,4,3,1
1.640,0.8113,1,4,3,1
1.673,0.8108,1,4,3,1
1.706,0.8103,1,4,3,1
1.739,0.8100,1,4,3,1
1.773,0.8094,1,4,3,1
1.806,0.8084,1,4,3,1
1.841,0.8056,1,4,3,1
1.873,0.8018,1,4,3,1
1.906,0.7957,1,4,3,1
1.939,0.7884,1,4,3,1
1.973,0.7789,2,4,3,1
2.006,0.7679,2,4,3,1
2.039,0.7650,2,4,3,1
2.073,0.7642,2,4,3,1
2.106,0.7633,2,4,3,1
2.139,0.7629,2,4,4,1
2.173,0.7650,2,4,4,1
2.206,0.7741,2,4,4,1
2.240,0.7817,2,3,4,1
2.273,0.7870,2,3,4,1
2.306,0.7858,2,3,4,1
2.340,0.7852,2,3,4,1
2.373,0.7839,2,3,4,1
2.406,0.7826,2,3,4,1
2.440,0.7819,2,3,4,1
2.473,0.7805,2,3,4,1
2.506,0.7791,2,3,4,1
2.539,0.7784,2,3,4,1
2.573,0.7768,2,3,4,1
2.606,0.7747,2,3,4,1
2.640,0.7734,2,3,4,1
2.673,0.7703,2,3,4,1
2.706,0.7665,2,3,4,1
2.740,0.7642,2,3,4,1
2.773,0.7591,2,3,4,1
2.806,0.7532,2,3,4,1
