time,halfW01,d0,d1,d2,d3
2.926,0.7992,0,0,0,0
0.345,0.8145,1,3,3,1
0.367,0.8154,1,3,3,1
0.410,0.8172,1,3,3,1
0.444,0.8190,1,3,3,1
0.477,0.8199,1,3,3,1
0.510,0.8217,1,3,4,1
0.544,0.8235,1,3,4,1
0.577,0.8243,2,3,4,1
0.611,0.8261,2,3,4,1
0.644,0.8278,2,3,4,1
0.677,0.8286,2,3,4,1
0.711,0.8303,2,3,4,1
0.744,0.8320,2,3,4,1
0.777,0.8328,2,3,4,1
0.810,0.8345,2,3,4,1
0.844,0.8361,2,3,4,1
0.877,0.8369,2,3,4,1
0.910,0.8385,2,3,4,1
0.944,0.8400,2,3,4,1
0.977,0.8408,2,3,4,1
1.010,0.8423,2,3,4,1
1.044,0.8438,2,3,4,1
1.077,0.8446,2,3,4,1
1.110,0.8460,2,3,4,1
1.144,0.8474,2,3,4,1
1.177,0.8481,2,3,4,1
1.210,0.8495,2,3,4,1
1.244,0.8508,2,3,4,1
1.277,0.8515,2,3,4,1
1.311,0.8528,2,3,4,1
1.344,0.8541,2,3,4,1
1.377,0.8547,2,3,4,1
1.410,0.8559,2,3,4,1
1.444,0.8571,2,3,4,1
1.477,0.8576,2,3,4,1
1.511,0.8588,2,3,4,1
1.544,0.8599,2,3,4,1
1.577,0.8604,2,3,4,1
1.610,0.8615,2,3,4,1
1.644,0.8625,2,3,4,1
1.677,0.8630,0,0,0,0
1.710,0.8639,0,0,0,0
1.744,0.8648,0,0,0,0
1.777,0.8653,0,0,0,0
1.810,0.8662,0,0,0,0
1.843,0.8670,0,0,0,0
1.877,0.8674,0,0,0,0
1.911,0.8682,0,0,0,0
1.946,0.8689,0,0,0,0
1.977,0.8693,0,0,0,0
2.010,0.8700,0,0,0,0
2.044,0.8706,0,0,0,0
2.077,0.8710,0,0,0,0
2.111,0.8716,0,0,0,0
2.144,0.8722,0,0,0,0
2.177,0.8724,0,0,0,0
2.210,0.8730,0,0,0,0
2.244,0.8734,0,0,0,0
2.277,0.8737,0,0,0,0
2.310,0.8741,0,0,0,0
2.344,0.8745,0,0,0,0
2.377,0.8747,0,0,0,0
2.410,0.8751,0,0,0,0
2.444,0.8754,0,0,0,0
2.477,0.8756,0,0,0,0
2.509,0.8758,0,0,0,0
2.544,0.8761,0,0,0,0
2.577,0.8762,0,0,0,0
2.611,0.8764,0,0,0,0
2.644,0.8766,0,0,0,0
